"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,-0.2069365,,
"NLD","Netherlands","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2022","2022","PC","Percentage","0","Units",,,10.74305,,
"CRI","Costa Rica","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.190684,,
"CRI","Costa Rica","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.303245,,
"CRI","Costa Rica","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.533978,,
"CRI","Costa Rica","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.235187,,
"CRI","Costa Rica","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.696028,,
"CRI","Costa Rica","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.123754,,
"CRI","Costa Rica","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,0.04940455,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100.0008,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.4608,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",102.1042,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",109.905,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",117.2242,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",126.0692,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",130.2708,,
"FRA","France","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",131.9867,,
"COL","Colombia","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2018M12_100","2018M12=100",92.82417,,
"COL","Colombia","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2018M12_100","2018M12=100",96.59666,,
"COL","Colombia","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2018M12_100","2018M12=100",99.2625,,
